id,title,authors,year,journal,doi,url,source_database,open_access_pdf_path,screening_status,reason_for_inclusion,notes
jensen2023digital,Digital product passports for a circular economy: Data needs for product life cycle decision-making,"Jensen, Steffen Foldager and Kristensen, Jesper Hemdrup and Adamsen, Sofie and Christensen, Andreas and Waehrens, Brian Vejrum",2023,Sustainable Production and Consumption,10.1016/j.spc.2023.02.021,https://doi.org/10.1016/j.spc.2023.02.021,seed_verified;OpenAlex,,included,DPP data needs across life-cycle stakeholders.,No legal OA PDF URL found by API.
king2023proposed,"A proposed universal definition of a Digital Product Passport Ecosystem (DPPE): Worldviews, discrete capabilities, stakeholder requirements and concerns","King, Melanie R. N. and Timms, Paul D. and Mountney, Sara",2023,Journal of Cleaner Production,10.1016/j.jclepro.2022.135538,https://doi.org/10.1016/j.jclepro.2022.135538,seed_verified,,included,DPP ecosystem capabilities and stakeholder requirements.,No legal OA PDF URL found by API.
ducuing2023data,Data governance: Digital product passports as a case study,"Ducuing, Charlotte and Reich, Rene Herbert",2023,European Journal of Risk Regulation,10.1177/17835917231152799,https://doi.org/10.1177/17835917231152799,seed_verified;OpenAlex,,included,"DPP data governance, access, trust, and data quality.",No legal OA PDF URL found by API.
lopes2024digital,Digital Product Passport: A Review and Research Agenda,"Lopes, Carla and Barata, Joao",2024,Procedia Computer Science,10.1016/j.procs.2024.09.517,https://doi.org/10.1016/j.procs.2024.09.517,seed_verified,,included,"Recent review of DPP structure, technologies, and adoption challenges.",No legal OA PDF URL found by API.
eu2024espr,Regulation (EU) 2024/1781 establishing a framework for the setting of ecodesign requirements for sustainable products,{European Parliament and Council of the European Union},2024,Official Journal of the European Union,,https://eur-lex.europa.eu/eli/reg/2024/1781/oj/eng,seed_verified,,included,Legal basis for EU DPP requirements under ESPR.,No legal OA PDF URL found by API.
doi978993426651530,TRANSFORMATION OF TRADE LOGISTICS AND TOURISM INDUSTRY IN THE CONTEXT OF ESG AND GREEN ECONOMY: A STRATEGY FOR SUSTAINABLE DEVELOPMENT OF GLOBAL SUPPLY CHAINS,Tetiana Borovyk,2026,,10.30525/978-9934-26-651-5-30,https://doi.org/10.30525/978-9934-26-651-5-30,OpenAlex,lit/pdfs/doi978993426651530_transformation_of_trade_logistics_and_tourism.pdf,included,"Matched search string: ""digital product passport"" ""supplier data sharing""",OpenAlex ID: https://openalex.org/W7161975409
doi30516460u,Digital product passport - Data carriers,,2026,,10.3403/30516460u,https://doi.org/10.3403/30516460u,Crossref,,included,"Matched search string: ""digital product passport"" ""supplier data sharing""",No legal OA PDF URL found by API.
doi30516460,Digital product passport - Data carriers,,2026,,10.3403/30516460,https://doi.org/10.3403/30516460,Crossref,,included,"Matched search string: ""digital product passport"" ""supplier data sharing""",No legal OA PDF URL found by API.
doi30516202,Digital product passport - Data exchange protocols,,2026,,10.3403/30516202,https://doi.org/10.3403/30516202,Crossref,,included,"Matched search string: ""digital product passport"" ""supplier data sharing""",No legal OA PDF URL found by API.
doi30516202u,Digital product passport - Data exchange protocols,,2026,,10.3403/30516202u,https://doi.org/10.3403/30516202u,Crossref,,included,"Matched search string: ""digital product passport"" ""supplier data sharing""",No legal OA PDF URL found by API.
doi30516463,"Digital product passport - Data storage, archiving, and data persistence",,2026,,10.3403/30516463,https://doi.org/10.3403/30516463,Crossref,,included,"Matched search string: ""digital product passport"" ""supplier data sharing""",No legal OA PDF URL found by API.
log_search_semantic_scholar_digital_product_pass,"Search failure for ""digital product passport"" ""supplier data sharing""",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22digital+product+passport%22+%22supplier+data+sharing%22&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doidcossiot5802120230,Digital Product Passports: Use Cases Framework and Technical Architecture Using DLT and Smart Contracts,Szymon Nowacki and Gokay Meric Sisik and Constantinos Marios Angelopoulos,2023,,10.1109/dcoss-iot58021.2023.00067,https://doi.org/10.1109/dcoss-iot58021.2023.00067,OpenAlex,lit/pdfs/doidcossiot5802120230_digital_product_passports_use_cases_framework.pdf,included,"Matched search string: ""digital product passport"" contract",OpenAlex ID: https://openalex.org/W4387089576
doien16237742,Implementation of Blockchain Technology in Waste Management,Katarzyna Bułkowska and Magdalena Zielińska and Maciej Bułkowski,2023,Energies,10.3390/en16237742,https://doi.org/10.3390/en16237742,OpenAlex,,included,"Matched search string: ""digital product passport"" contract",OpenAlex ID: https://openalex.org/W4388974624; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/1996-1073/16/23/7742/pdf?version=1700817024
doipreprints202402119,Collaborative Smart Production Supply Chains with Blockchain Based Digital Product Passports,Fatemeh Stodt and Nicolai Maisch and Philipp Ruf and Armin Lechler and Oliver Riedel and Christoph Reich,2024,Preprints.org,10.20944/preprints202402.1194.v2,https://doi.org/10.20944/preprints202402.1194.v2,OpenAlex,,included,"Matched search string: ""digital product passport"" contract",OpenAlex ID: https://openalex.org/W4396869486; PDF download failed: 403 Client Error: Forbidden for url: https://www.preprints.org/manuscript/202402.1194/v2/download
dointms65597202511076,Enhancing Digital Product Passport Through Decentralized Digital Twins,Ranjit Kannappan and Julien Hatin and E. Bertin and Noël Crespi,2025,,10.1109/ntms65597.2025.11076730,https://doi.org/10.1109/ntms65597.2025.11076730,OpenAlex,lit/pdfs/dointms65597202511076_enhancing_digital_product_passport_through_de.pdf,included,"Matched search string: ""digital product passport"" contract",OpenAlex ID: https://openalex.org/W4412966561
doijophv5i93310,"The Future is Traceable: Integrating Blockchain, Waste Management, and the Circular Economy for Sustainability",Mahyuzar Rahman and Kaushik Chowdhury and Lutfun Nahar Chowdhury and Shuvo Kumar Mallik and Noushin Akhter Nova,2025,Journal of Posthumanism,10.63332/joph.v5i9.3310,https://doi.org/10.63332/joph.v5i9.3310,OpenAlex,lit/pdfs/doijophv5i93310_the_future_is_traceable_integrating_blockchai.pdf,included,"Matched search string: ""digital product passport"" contract",OpenAlex ID: https://openalex.org/W4413954085
doijifacol202509109,A Multiple Case Study Providing Insights Into Applying Digital Product Passport in Several Industries,Paul Kengfai Wan and Erica Linder and Emrah Arica and Giuseppe Fragapane,2025,IFAC-PapersOnLine,10.1016/j.ifacol.2025.09.109,https://doi.org/10.1016/j.ifacol.2025.09.109,OpenAlex,,included,"Matched search string: ""digital product passport"" contract",OpenAlex ID: https://openalex.org/W4414567714; No legal OA PDF URL found by API.
doiestjv6i82015,Closing the loop: Overcoming behavioral and institutional barriers to recycled material adoption in electronics supply chains through multi-stakeholder governance,Simon Suwanzy Dzreke and Semefa Elikplim Dzreke,2025,Engineering Science & Technology Journal,10.51594/estj.v6i8.2015,https://doi.org/10.51594/estj.v6i8.2015,OpenAlex,,included,"Matched search string: ""digital product passport"" contract",OpenAlex ID: https://openalex.org/W4414156293; PDF download failed: 403 Client Error: Forbidden for url: https://fepbl.com/index.php/estj/article/download/2015/2295
doiv1,Automating Accountability: Smart Contracts and the Legal Future of Digital Product Passports in the EU Circular Economy,Rakan Alrdaan,2026,Research Square,10.21203/rs.3.rs-8397708/v1,https://doi.org/10.21203/rs.3.rs-8397708/v1,OpenAlex,lit/pdfs/doiv1_automating_accountability_smart_contracts_and.pdf,included,"Matched search string: ""digital product passport"" contract",OpenAlex ID: https://openalex.org/W7124453006
doi30516701u,Digital Product Passport - Application Programming Interfaces (APIs) for the product passport lifecycle management and searchability,,2026,,10.3403/30516701u,https://doi.org/10.3403/30516701u,Crossref,,included,"Matched search string: ""digital product passport"" contract",No legal OA PDF URL found by API.
doi30516701,Digital Product Passport - Application Programming Interfaces (APIs) for the product passport lifecycle management and searchability,,2026,,10.3403/30516701,https://doi.org/10.3403/30516701,Crossref,,included,"Matched search string: ""digital product passport"" contract",No legal OA PDF URL found by API.
doi30516457,Digital product passport - Unique identifiers,,2026,,10.3403/30516457,https://doi.org/10.3403/30516457,Crossref,,included,"Matched search string: ""digital product passport"" contract",No legal OA PDF URL found by API.
doi30516457u,Digital product passport - Unique identifiers,,2026,,10.3403/30516457u,https://doi.org/10.3403/30516457u,Crossref,,included,"Matched search string: ""digital product passport"" contract",No legal OA PDF URL found by API.
doi30516704u,Digital Product Passport - System interoperability,,2026,,10.3403/30516704u,https://doi.org/10.3403/30516704u,Crossref,,included,"Matched search string: ""digital product passport"" contract",No legal OA PDF URL found by API.
log_search_semantic_scholar_digital_product_pass,"Search failure for ""digital product passport"" contract",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22digital+product+passport%22+contract&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doi136755672024237425,Digital product passport for sustainable and circular supply chain management: a structured review of use cases,Abraham Zhang and Stefan Seuring,2024,International Journal of Logistics Research and Applications,10.1080/13675567.2024.2374256,https://doi.org/10.1080/13675567.2024.2374256,OpenAlex,,included,"Matched search string: ""digital product passport"" governance",OpenAlex ID: https://openalex.org/W4400430036; No legal OA PDF URL found by API.
doigaia32s17,Digital circular ecosystems: A data governance approach,Dominik Piétron and Philipp Staab and Florian Hofmann,2023,GAIA - Ecological Perspectives for Science and Society,10.14512/gaia.32.s1.7,https://doi.org/10.14512/gaia.32.s1.7,OpenAlex,,included,"Matched search string: ""digital product passport"" governance",OpenAlex ID: https://openalex.org/W4324002104; No legal OA PDF URL found by API.
doi00081256251380360,Tensions in Data-Sharing Governance for Circular Cities: The Case of the Digital Product Passport,Leona A. Henry and Francesca Ciulli,2025,California Management Review,10.1177/00081256251380360,https://doi.org/10.1177/00081256251380360,OpenAlex,,included,"Matched search string: ""digital product passport"" governance",OpenAlex ID: https://openalex.org/W4416995942; No legal OA PDF URL found by API.
doi978303160433121,The Digital Product Passport: Enabling Interoperable Information Flows Through Blockchain Consortia for Sustainability,Maximilian Greiner and Karl Seidenfad and Christoph Langewisch and A Hofmann and Ulrike Lechner,2024,Communications in computer and information science,10.1007/978-3-031-60433-1_21,https://doi.org/10.1007/978-3-031-60433-1_21,OpenAlex,,included,"Matched search string: ""digital product passport"" governance",OpenAlex ID: https://openalex.org/W4399190693; No legal OA PDF URL found by API.
doiec32023245,Circular economy in the built environment: a framework for implementing digital product passports with knowledge graphs,Rahel Kebede and Annika Moscati and Tan He and Peter Johansson,2023,Computing in construction,10.35490/ec3.2023.245,https://doi.org/10.35490/ec3.2023.245,OpenAlex,,included,"Matched search string: ""digital product passport"" governance",OpenAlex ID: https://openalex.org/W4383682653; PDF download failed: 404 Client Error: Not Found for url: https://ec-3.org/publications/conferences/EC32023/papers/EC32023_245.pdf
doibse70065,An Integrated Business Strategy for the Twin Transition: Leveraging Digital Product Passports and Circular Economy Models,Idiano D’Adamo and Luciano Fratocchi and Chiara Grosso and Madjid Tavana,2025,Business Strategy and the Environment,10.1002/bse.70065,https://doi.org/10.1002/bse.70065,OpenAlex,,included,"Matched search string: ""digital product passport"" governance",OpenAlex ID: https://openalex.org/W4412013892; PDF download failed: 403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/bse.70065
doiahfe1004559,APPEND: A Blockchain-Based Model of Digital Product Passport for Furniture Industry,Fisnik Dalipi and Arianit Kurti and Mexhid Ferati,2024,AHFE international,10.54941/ahfe1004559,https://doi.org/10.54941/ahfe1004559,OpenAlex,,included,"Matched search string: ""digital product passport"" governance",OpenAlex ID: https://openalex.org/W4391057787; PDF download failed: 403 Client Error: Forbidden for url: https://ahfe-proceedings-covers.s3.amazonaws.com/978-1-958651-96-4_9.pdf
log_search_semantic_scholar_digital_product_pass,"Search failure for ""digital product passport"" governance",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22digital+product+passport%22+governance&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
dois12525024006907,Enhancing trust in global supply chains: Conceptualizing Digital Product Passports for a low-carbon hydrogen market,Paula Heeß and Jakob Rockstuhl and Marc-Fabian Körner and Jens Strüker,2024,Electronic Markets,10.1007/s12525-024-00690-7,https://doi.org/10.1007/s12525-024-00690-7,OpenAlex,lit/pdfs/dois12525024006907_enhancing_trust_in_global_supply_chains_conce.pdf,included,"Matched search string: ""digital product passport"" ""supply chain""",OpenAlex ID: https://openalex.org/W4391225429
doiijopm0120240012,Impact pathways: digital product passport for embedding circularity in electronics supply chains,Atanu Chaudhuri and Brian Vejrum Wæhrens and Horst Treiblmaier and Steffen Foldager Jensen,2024,International Journal of Operations & Production Management,10.1108/ijopm-01-2024-0012,https://doi.org/10.1108/ijopm-01-2024-0012,OpenAlex,lit/pdfs/doiijopm0120240012_impact_pathways_digital_product_passport_for_.pdf,included,"Matched search string: ""digital product passport"" ""supply chain""",OpenAlex ID: https://openalex.org/W4402911683
doi978303143688825,Textile Industry Circular Supply Chains and Digital Product Passports. Two Case Studies,Bjørn Jæger and Sivert Myrold,2023,IFIP advances in information and communication technology,10.1007/978-3-031-43688-8_25,https://doi.org/10.1007/978-3-031-43688-8_25,OpenAlex,lit/pdfs/doi978303143688825_textile_industry_circular_supply_chains_and_d.pdf,included,"Matched search string: ""digital product passport"" ""supply chain""",OpenAlex ID: https://openalex.org/W4386716688
doi978303159465619,A Reference Architecture for Digital Product Passports at Batch Level to Support Manufacturing Supply Chains,Malina Wiesner and João Moreira and Renata S. S. Guizzardi and Paul Scholz,2024,Lecture notes in business information processing,10.1007/978-3-031-59465-6_19,https://doi.org/10.1007/978-3-031-59465-6_19,OpenAlex,lit/pdfs/doi978303159465619_a_reference_architecture_for_digital_product_.pdf,included,"Matched search string: ""digital product passport"" ""supply chain""",OpenAlex ID: https://openalex.org/W4396540838
doijtre2025104336,Integrating blockchain with digital product passports for managing reverse supply chain,Hanbing Xia and Jiahong Li and Qian Li and Jelena Milisavljevic-Syed and Konstantinos Salonitis,2025,Transportation Research Part E Logistics and Transportation Review,10.1016/j.tre.2025.104336,https://doi.org/10.1016/j.tre.2025.104336,OpenAlex,,included,"Matched search string: ""digital product passport"" ""supply chain""",OpenAlex ID: https://openalex.org/W4412922294; No legal OA PDF URL found by API.
doisu16010396,Digital Product Passport: A Pathway to Circularity and Sustainability in Modern Manufacturing,Foivos Psarommatis and Gökan May,2024,Sustainability,10.3390/su16010396,https://doi.org/10.3390/su16010396,OpenAlex,,included,"Matched search string: ""digital product passport"" ""supply chain""",OpenAlex ID: https://openalex.org/W4390506356; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/2071-1050/16/1/396/pdf?version=1704179188
doissrn5148602,Decentralized Digital Product Passport Building Blocks for Enhancing Supply Chain Sovereignty and Circular Economy Practices,Santiago de Diego and Iván Gutiérrez,2025,,10.2139/ssrn.5148602,https://doi.org/10.2139/ssrn.5148602,Crossref,,included,"Matched search string: ""digital product passport"" ""supply chain""",No legal OA PDF URL found by API.
doissrn6017679,Digital Product Passport and Internet of Things Integration in Supply Chain Management,suat kasap and Tugba Danaci and Ahmet  E. Topcu and Ufuk Kula,2026,,10.2139/ssrn.6017679,https://doi.org/10.2139/ssrn.6017679,Crossref,,included,"Matched search string: ""digital product passport"" ""supply chain""",No legal OA PDF URL found by API.
doijprocir202412065,Digital Product Passport enabled Quality Assessment in Dynamic Circular Supply Chain Networks,Christiane Plociennik and Leonhard Kunz and Martin Ruskowski,2025,Procedia CIRP,10.1016/j.procir.2024.12.065,https://doi.org/10.1016/j.procir.2024.12.065,Crossref,,included,"Matched search string: ""digital product passport"" ""supply chain""",No legal OA PDF URL found by API.
doissrn4598796,Facilitating Digital Product Passport in Construction Supply Chains,Xiang Chu and Yingli Wang and Rui Wang,2023,,10.2139/ssrn.4598796,https://doi.org/10.2139/ssrn.4598796,Crossref,,included,"Matched search string: ""digital product passport"" ""supply chain""",No legal OA PDF URL found by API.
doiaccess20253594826,Decentralized Digital Product Passport Building Blocks for Enhancing Supply Chain Sovereignty and Circular Economy Practices,Santiago de Diego and Iván Gutiérrez-Aguero,2025,IEEE Access,10.1109/access.2025.3594826,https://doi.org/10.1109/access.2025.3594826,Crossref,,included,"Matched search string: ""digital product passport"" ""supply chain""",No legal OA PDF URL found by API.
log_search_semantic_scholar_digital_product_pass,"Search failure for ""digital product passport"" ""supply chain""",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22digital+product+passport%22+%22supply+chain%22&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doipolym15071623,Information-Based Plastic Material Tracking for Circular Economy—A Review,Thomas Rumetshofer and Joerg Fischer,2023,Polymers,10.3390/polym15071623,https://doi.org/10.3390/polym15071623,OpenAlex,,included,"Matched search string: ""digital product passport"" verification",OpenAlex ID: https://openalex.org/W4360865054; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/2073-4360/15/7/1623/pdf?version=1679647694
doijspc202501014,Enabling a dynamic information flow in digital product passports during product use phase: A literature review and proposed framework,Paul Kengfai Wan and Shanshan Jiang,2025,Sustainable Production and Consumption,10.1016/j.spc.2025.01.014,https://doi.org/10.1016/j.spc.2025.01.014,OpenAlex,,included,"Matched search string: ""digital product passport"" verification",OpenAlex ID: https://openalex.org/W4406813963; No legal OA PDF URL found by API.
doipolym16101420,How the Digital Product Passport Can Lead the Plastics Industry towards a Circular Economy—A Case Study from Bottle Caps to Frisbees,Thomas Rumetshofer and Klaus Straka and Joerg Fischer,2024,Polymers,10.3390/polym16101420,https://doi.org/10.3390/polym16101420,OpenAlex,,included,"Matched search string: ""digital product passport"" verification",OpenAlex ID: https://openalex.org/W4396951688; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/2073-4360/16/10/1420/pdf?version=1715869207
doijjclepro2023139126,No-one left behind: An open access approach to estimating the carbon footprint of a Danish clothing company,Thomas Stridsland and William Biørnstad and Kristina Vigen and Kristian Lange Østergaard and Hans Sanderson,2023,Journal of Cleaner Production,10.1016/j.jclepro.2023.139126,https://doi.org/10.1016/j.jclepro.2023.139126,OpenAlex,,included,"Matched search string: ""digital product passport"" verification",OpenAlex ID: https://openalex.org/W4387425134; PDF download failed: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/pii/S0959652623032845
doihicss2025527,Human-Centric Digital Product Passports: Enabling Verifiable Information Sharing for Sustainable Consumption through Wallet-Based Identity Management and Zero-Knowledge Proofs,Matthias Babel and Claus Guthmann and Marc-Fabian Körner and Tobias Kranz and Jens Strüker,2025,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,10.24251/hicss.2025.527,https://doi.org/10.24251/hicss.2025.527,OpenAlex,lit/pdfs/doihicss2025527_human_centric_digital_product_passports_enabl.pdf,included,"Matched search string: ""digital product passport"" verification",OpenAlex ID: https://openalex.org/W4407207870
log_search_semantic_scholar_digital_product_pass,"Search failure for ""digital product passport"" verification",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22digital+product+passport%22+verification&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doi202458508001,Towards dynamic digital product passport: The approach for food sector,Lucyna Łȩkawska-Andrinopoulou and Dimitra Tsiakou and Konstantinos Chatzioannou and Georgios Tsimiklis and Angelos Amditis,2024,E3S Web of Conferences,10.1051/e3sconf/202458508001,https://doi.org/10.1051/e3sconf/202458508001,OpenAlex,lit/pdfs/doi202458508001_towards_dynamic_digital_product_passport_the_.pdf,included,"Matched search string: ""digital product passport"" audit",OpenAlex ID: https://openalex.org/W4404148882
doifrsus20251588374,Beyond greenwashing: how circular economy metrics could revolutionize ESG investing,Williams Chibueze Munonye and Daniella Ifunanya Munonye,2026,Frontiers in Sustainability,10.3389/frsus.2025.1588374,https://doi.org/10.3389/frsus.2025.1588374,OpenAlex,lit/pdfs/doifrsus20251588374_beyond_greenwashing_how_circular_economy_metr.pdf,included,"Matched search string: ""digital product passport"" audit",OpenAlex ID: https://openalex.org/W7124459775
doisu18020782,"Beyond Green Labels: Leveraging Blockchain, IoT, and AI for Enhanced Traceability and Verification of Green Marketing Claims in Transnational Agri-Food Supply Chains",Ana-Maria Nicolau and Petruţa Petcu,2026,Sustainability,10.3390/su18020782,https://doi.org/10.3390/su18020782,OpenAlex,,included,"Matched search string: ""digital product passport"" audit",OpenAlex ID: https://openalex.org/W7123356071; PDF download failed: 403 Client Error: Forbidden for url: https://www.mdpi.com/2071-1050/18/2/782/pdf
doi012023,Archetypes of Deconstruction: A framework introducing LCA to the End-of-Life,Pedro Frazão Pedroso and José Dinis SILVESTRE and António Aguiar Costa,2025,IOP Conference Series Earth and Environmental Science,10.1088/1755-1315/1568/1/012023,https://doi.org/10.1088/1755-1315/1568/1/012023,OpenAlex,,included,"Matched search string: ""digital product passport"" audit",OpenAlex ID: https://openalex.org/W7117481151; No legal OA PDF URL found by API.
doiplate202510322,Design for Traceability (DfT),Hamed Beigi and Alessio Franconi,2025,Proceedings of the 6th Product Lifetimes and the Environment Conference (PLATE2025),10.54337/plate2025-10322,https://doi.org/10.54337/plate2025-10322,OpenAlex,,included,"Matched search string: ""digital product passport"" audit",OpenAlex ID: https://openalex.org/W4411618506; PDF download failed: 404 Client Error: Not Found for url: https://journals.aau.dk/index.php/plate2025/article/download/10322/8237
doijprocs202602309,Data Interoperability in European Product Conformity Management for Circular Supply Chains: Digital Twins and a Legal Knowledge &amp; Data Model for linking law making and product manufacturing,Bernd Hilgarth and Günter Schicker,2026,Procedia Computer Science,10.1016/j.procs.2026.02.309,https://doi.org/10.1016/j.procs.2026.02.309,OpenAlex,,included,"Matched search string: ""digital product passport"" audit",OpenAlex ID: https://openalex.org/W7140135223; No legal OA PDF URL found by API.
doijdigbus2026100167,LLM-based JSON Mapping and Blockchain Integration for Digital Product Passports,David Rohrschneider and Marcel Pehlke and Uwe Handmann and Marc Jansen,2026,Digital Business,10.1016/j.digbus.2026.100167,https://doi.org/10.1016/j.digbus.2026.100167,OpenAlex,,included,"Matched search string: ""digital product passport"" audit",OpenAlex ID: https://openalex.org/W7131241810; No legal OA PDF URL found by API.
doibmj2024081554,FUTURE-AI: international consensus guideline for trustworthy and deployable artificial intelligence in healthcare,Karim Lekadir and Alejandro F. Frangi and Antonio R. Porras and Ben Glocker and Celia Cintas and Curtis P. Langlotz and Eva Weicken and Folkert W. Asselbergs and Fred Prior and Gary S. Collins and Georgios Kaissis and Gianna Tsakou and Irène Buvat and Jayashree Kalpathy-Cramer and John Mongan and Julia A. Schnabel and Kaisar Kushibar and Katrine Riklund and Kostas Marias and Lameck Mbangula Amugongo and Lauren A. Fromont and Lena Maier-Hein and Leonor Cerdá-Alberich and Luis Martí‐Bonmatí and M. Jorge Cardoso and Maciej Bobowicz and Mahsa Shabani and Manolis Tsiknakis and María A. Zuluaga and Marie-Christine Fritzsche and Marina Camacho and Marius George Linguraru and Markus Wenzel and Marleen de Bruijne and Martin G. Tolsgaard and Melanie Goisauf and Mónica Cano Abadía and Nikolaos Papanikolaou and Noussair Lazrak and Oriol Pujol and Richard Osuala and Sandy Napel and Sara Colantonio and Smriti Joshi and Stefan Klein and Susanna Aussó and Wendy Rogers and Zohaib Salahuddin and Martijn P. A. Starmans,2025,BMJ,10.1136/bmj-2024-081554,https://doi.org/10.1136/bmj-2024-081554,OpenAlex,,included,"Matched search string: ""digital product passport"" audit",OpenAlex ID: https://openalex.org/W4407173730; No legal OA PDF URL found by API.
log_search_semantic_scholar_digital_product_pass,"Search failure for ""digital product passport"" audit",,,,,,search_semantic_scholar,,search_error,API search attempted but failed.,429 Client Error:  for url: https://api.semanticscholar.org/graph/v1/paper/search?query=%22digital+product+passport%22+audit&limit=5&fields=title%2Cauthors%2Cyear%2Cvenue%2CexternalIds%2Curl%2CopenAccessPdf; No legal OA PDF URL found by API.
doi0012732900003690,Data Quality Assessment for the Textile and Clothing Value-Chain Digital Product Passport,Adriana Cruz and Pedro Silva and Sérgio Serra and Rodrigo Lins Rodrigues and Pedro Pinto and Estrela Ferreira Cruz,2024,,10.5220/0012732900003690,https://doi.org/10.5220/0012732900003690,OpenAlex,,included,"Matched search string: ""digital product passport"" ""data quality""",OpenAlex ID: https://openalex.org/W4396573151; No legal OA PDF URL found by API.
